title,company,location,description
Senior Data Science /Principal Architect(Contract),Castlight Health,"San Francisco, CA 94105","[    Designing and building complex data pipelines in a large scale data environment.  Using big data to drive business impact.  Product/Program management experience a plus  Experience with at least one ML framework, such as Tensorflow, Keras, Torch, Caffe  Strong working knowledge in core Java, JEE, JSON, REST APIs like Java API for RESTful Web Services (i.e. JAX-RS, Spring, SparkJava)  Experience working with enterprise applications using Spring and Hibernate.  Good command over using Data Structures especially XML, JSON operations and Processing technologie  Should have good knowledge of Threading, Socket Programming, IPC   Job Type: Contract  Salary: $90.00 to $105.00 /hour   ]"
Data Science Manager,Autodesk,"San Francisco, CA","[      BuildingConnected is integral for our pre-construction solutions. We enable the future of construction as the definitive source of information to help customers win more work, connect with the right people or job, and reduce risk. Our beautiful, user-friendly software is solving real problems for real people. At BuildingConnected, we strive to connect every business in the $10 trillion construction industry and improve the lives and jobs of millions of hardworking construction professionals.     As data scientists at BuildingConnected, our research brings best-in-class data driven products to the construction industry. From natural language processing models that pinpoint critical construction data to recommendation systems that highlight the right workers for a job, we deliver cutting edge solutions to the construction industry. If you like the idea of effecting change on a global scale and want to work with a thoughtful team that is building useful products for people in a hard-working industry, we should chat.    We’re looking for a data science lead to develop and guide our of data scientists and engineers. This role will have a huge impact on the organization, helping to establish the future of machine learning products at ACS. You’ll have the opportunity to help us scale the team both in terms of technology, knowledge, and process as we set out to build the future of construction.      Responsibilities      Lead and manage a team of 3-5 data scientists, conducting regular 1:1s, providing empathetic mentorship, and facilitating career growth   Work closely with the product and engineering stakeholders to prioritize team backlog   Be a hands on contributor for what the team is working on   Collaborate with engineering leadership   Champion DS charter within and outside the organization   Guiding technical discussions with stakeholders to solve hard problems in the data science and machine learning space   Respond to feedback quickly   Contribute to a kind and inclusive working environment      Minimum Qualifications      A degree in a field related to data science (Engineering, Computer Science, Statistics, etc) or equivalent industry experience   Previous experience as a data scientist working on production level machine learning products      Preferred Qualifications      Previous leadership experience      About Autodesk   With Autodesk software, you have the power to Make Anything. The future of making is here, bringing with it radical changes in the way things are designed, made, and used. It’s disrupting every industry: architecture, engineering, and construction; manufacturing; and media and entertainment. With the right knowledge and tools, this disruption is your opportunity. Our software is used by everyone - from design professionals, engineers and architects to digital artists, students and hobbyists. We constantly explore new ways to integrate all dimensions of diversity across our employees, customers, partners, and communities. Our ultimate goal is to expand opportunities for anyone to imagine, design, and make a better world.    #ACSCareerSite         At Autodesk, we're building a diverse workplace and an inclusive culture to give more people the chance to imagine, design, and make a better world. Autodesk is proud to be an equal opportunity employer and considers all qualified applicants for employment without regard to race, color, religion, age, sex, sexual orientation, gender, gender identity, national origin, disability, veteran status or any other legally protected characteristic. We also consider for employment all qualified applicants regardless of criminal histories, consistent with applicable law.   To all recruitment agencies: Autodesk does not accept unsolicited headhunter and agency resumes. Autodesk will not pay fees to any third-party agency or company that does not have a signed agreement with Autodesk, Inc.        ]"
Data Scientist,Vida,"San Francisco, CA 94108","[  At Vida Health, we are passionate about transforming lives through better health. We live our vision everyday by creating solutions for preventing and reversing chronic conditions resulting in lower health care costs and better lifestyles for our customers.    We are a passionate team that loves building solutions to enable great outcomes for our members. The team is small enough that you can make an immediate impact on our products but also big enough for you to find your niche and focus on a particular area or technology to transform and further your career aspirations.    If you are an applied research engineer/scientist with a passion for working on massive semi-structured text, metrics, conversation, and graph datasets, then Vida Health is the place for you. The ideal candidate will have domain experience (data mining, information retrieval, data science, natural language processing, advanced statistics, and/or machine learning), a strong systems orientation, and experience in building data mining products. The work you put forth will directly impact and fuel Vida’s ambitious goals and building recommendation systems, predictions systems and search systems.    Responsibilities       Carry out exploratory data analysis to find patterns, trends, insights and inconsistencies   Design statistical experiments to validate hypotheses, measure model performance and test new ideas   Communicate impact of data science projects and provide business insights to leadership through data visualizations   Experiment with state-of-the-art machine learning techniques and deploy machine learning models in production   Maintain the statistical models in production and iteratively improve them over time   Conceptualize, develop and deploy end to end data science solutions to deliver user recommendations, predict user sentiment, etc.   Collaborate with engineering, clinical, operations and product teams to drive multidisciplinary projects and shape product road map   Automate data processing to make clean data available for analysis, predictions and etc.   Develop core business metrics and create automated dashboards to track them   Actively participate in recruiting data scientists to the team   Mentor data science interns and entry level data scientists to ramp up their skill level and efficiency.   Carry out extensive research on developments in the field of Data Science, Machine learning, Artificial Intelligence and apply findings to data science projects    Basic Qualifications       Requires Master’s degree in Computer Science, Data Science or related field;   Experience of 2+ years in Business Analysis/Data Science related jobs   Required experience R, Python, SQL, NoSQL, Tableau, Spark, Linux, Machine Learning, Natural Language Processing    Preferred Qualifications       Experience with iterative, test-driven development   Experience leading team and individual projects and seeing it all the way through to production   Experience with Google Cloud or AWS or other cloud computing services to load and store data and to power our data science projects    Benefits &amp; Perks       Competitive compensation including stock options   Health, Vision, Dental, Commuter Benefits   In office lunch 5x a week   Gym reimbursement   Flexible vacation time    Interested applicants please mail/submit your resume directly to the attention of:  Samantha Pham – People Operations  Vida Health, Inc  100 Montgomery St.  Suite 750  San Francisco, CA 94104    THIS JOB LISTING IS POSTED IN CONNECTION WITH THE FILING OF A PERMANENT ALIEN LABOR CERTIFICATION APPLICATION AND THAT ANY PERSON MAY PROVIDE DOCUMENTARY EVIDENCE BEARING ON THE APPLICATION TO:    Certifying Officer  U.S. Department of Labor,  Employment and Training Administration,  Atlanta National Processing Center  Harris Tower,  233 Peachtree Street, NE., Suite 410,  Atlanta, GA 30303     ABOUT VIDA HEALTH:  Vida is a next generation continuous care platform for both consumers and businesses, combining a consumer mobile app, an enterprise care platform offering on demand 24/7 solutions for chronic conditions. Vida platform runs in the cloud, captures real-time data from 100+ devices and apps, and integrates back to the employer, payer, and provider. 133 million people in the U.S. live with a chronic condition, 70% of the $3T healthcare spend in the U.S. goes to preventable chronic conditions.  ]"
Sr Fraud Data Analyst,LexisNexis SA,"San Jose, CA","[    A t LexisNexis Risk Solutions, we believe in the power of data and advanced analytics for better risk management. With over 40 years of expertise, we are the trusted data analytics provider for organizations seeking actionable insights to manage risks and improve results while upholding the highest standards for security and privacy. Headquartered in metro Atlanta, LexisNexis Risk Solutions serves customers in more than 100 countries and is part of RELX Group plc, a world-leading provider of information and analytics for professional and business customers across industries. For more information, please visit www.lexisnexisrisk.com.    Sr Fraud Data Analyst   Job Functions:   Analysis of data provided by customers to identify fraud and provide insight into fraud solutions and customer workflow analysis Works directly with sales team to support fraud solution product understanding, implementation and best practices Works directly with customers to support fraud solution product understanding, implementation and best practices Maintains positive customer relationships though detailed analysis of large data batches Provides insight and input to other business groups on presentations to customers on analysis of fraud data Provides innovative ideas on product improvements and enhancements to manager for incorporation into new and exisiting products Looks for and identify key fraud trends in data analyzedProactively identify issues in data that need to be fixedResearches and resolves quality control issues as discovered or assignedActively participates in product testing for LexisNexis to include the current suite of products, new products being brought to market, training content and other materials.Assists Lead Fraud Analysts in process improvement efforts to optimize and achieve more efficient resultsSupports and participates in projects that Lead Fraud Analysts are conducting for MarketRepresents LexisNexis at customer facing eventsAssists with LexisNexis Marketing WebinarsOther duties as assigned   Requirements:   BA Degree Required 4+ years experience in Data AnalysisSelf-motivated and dynamicDemonstrated competence in application of logic to problems.Demonstrated competence in research and problem resolution.Strong organizational, prioritizing and time management skills.Strong attention to detailStrong interpersonal and leadership skillsExperience in managing large customer facing solutionsProficient in Word, Access, Excel, VisioExperience with i2 Analyst Notebook, Tableau, and Esri a plusAbility to work in team and independentlyPreferred experience in LexisNexis suite of solutionsAbility to Travel - 20-40%     At LexisNexis Risk Solutions, we believe in the power of data and advanced analytics for better risk management. With over 40 years of expertise, we are the trusted data analytics provider for organizations seeking actionable insights to manage risks and improve results while upholding the highest standards for security and privacy. Headquartered in metro Atlanta, LexisNexis Risk Solutions serves customers in more than 100 countries and is part of RELX Group plc, a world-leading provider of information and analytics for professional and business customers across industries. For more information, please visit www.lexisnexisrisk.com. LexisNexis Risk Solutions is an equal opportunity employer: qualified applicants are considered for and treated during employment without regard to race, color, creed, religion, sex, national origin, citizenship status, disability status, protected veteran status, age, marital status, sexual orientation, gender identity, genetic information, or any other characteristic protected by law. If a qualified individual with a disability or disabled veteran needs a reasonable accommodation to use or access our online system, that individual should please contact 1.877.734.1938 or accommodations@relx.com.       LexisNexis Risk Solutions is an equal opportunity employer: qualified applicants are considered for and treated during employment without regard to race, color, creed, religion, sex, national origin, citizenship status, disability status, protected veteran status, age, marital status, sexual orientation, gender identity, genetic information, or any other characteristic protected by law. If a qualified individual with a disability or disabled veteran needs a reasonable accommodation to use or access our online system, that individual should please contact 1.877.734.1938 or accommodations@relx.com.    ]"
Quality Data Analyst,Juniper Networks,"Sunnyvale, CA 94089","[      At Juniper the Corporate Quality team is passionate about driving quality improvements. The Corporate Quality Metrics &amp; Analytics team plays a key role in providing Quality trends to the Juniper leadership team to ensure maximum visibility and action. Data analytics is a key factor to enable effective root cause activities and drive quality improvements.   If you too are passionate about leveraging data to drive improvement and you like to be knee deep in data projects then this role is for you! We are looking for an experienced candidate to work with us to harness data and empower our stakeholders to act on the key insights found. The ideal candidate should be highly skilled in all aspects of data analytics including the transformation of data into readable, goal driven reports and visualization. The successful candidate must be a self-starter, be able to manage multiple tasks and projects simultaneously, own deliverables and have excellent prioritization and time management skills.    Responsibilities:     Create and maintain rich interactive visualizations through data interpretation and analysis integrating various reporting components from multiple data sources.   Proactively analyze data to answer key questions from stakeholders or out of self-initiated curiosity with an eye for what drives business performance, investigating and communicating areas for improvement in efficiency and productivity   Use statistical methods to analyze data and generate useful business reports   Ability to tell stories with data, educate effectively, and instill confidence, motivating stakeholders to act on recommendations.   Create best-practice reports based on data mining, analysis, and visualization   Work directly with management and users to gather requirements, provide status updates, and build relationships   Work with stakeholders to deliver regular reviews of data analytic findings and highlight what is the story that the data is telling us?   Work cross functionally to obtain a keen understanding of business processes that impact data input.     Minimum Qualifications:     Bachelor’s degree in Mathematics, Computer Science, Business or Statistics    4-6 years experience as data analyst     Highly proficient in Tableau - very advanced skill set required for consideration    Strong MS Office skills   Must be able to work self-sufficiently   Tenacious problem solver   Ability to collaborate effectively and work as part of a team   Strong attention to detail   Strong communication skills     Preferred Qualifications:     Basic knowledge of R or Python programming skills   Basic knowledge of SQL   Basic knowledge of data bases and warehouses   Familiar with SAP   Familiar with SFDC.     Other Information:      Relocation is available for this position     This is not a New Graduate level position      ]"
Data Analyst,Brilliant Corners,"San Francisco, CA 94103","[     Why work for us?       Organization Overview    Founded in 2004, Brilliant Corners provides innovative housing and housing-related services to those transitioning from or at risk of homelessness or institutionalization. We develop, own, and manage multi-family supportive housing and licensed residential care homes. Additionally, we implement a broad array of scattered-site, one-on-one supportive housing, and clinical case management programs through partnerships with developmental services, homeless services, veteran services, and health care sectors.   In short, we do good work.   We have offices statewide with a staff of passionate people. While we are growing rapidly, we are also selective: We’re seeking inspired, talented people who want to be effecting profound change and who have fun doing it.      Position Summary    The Data Analyst will be responsible for the development, testing, implementation, and maintenance of ad-hoc and recurring reports as well as dashboards and other business intelligence applications that utilize the underlying data stores for internal and external use. Working with cross-functional teams, the Jr. Data Analyst will thoroughly analyze and clarify report requirements, make recommendations, and educate when necessary to meet business needs. They will also be responsible for creating and maintaining internal controls and reference materials to promote data quality.      Responsibilities     Work with stakeholders across the organization to understand information needs, such as process and performance indicators   Acquire data from primary or secondary data sources and assist in the on-going optimization and maintenance of databases/data systems   Locate and define new process improvement opportunities, particularly in the areas of data definition/coding, data collection and data quality   Interpret data, analyze results using computational, statistical and geographic techniques and provide scheduled and ad hoc reports   Identify, analyze, and interpret trends or patterns in complex data sets   Develop and maintain any necessary reference materials, such as data dictionaries, code books, and report specifications   Develop business intelligence dashboards   Automate ETL processes to ensure all end users have seamless access to current, actionable information   Combine/Integrate data across multiple sources/platforms as required by business users   Use a design thinking approach to deliver data visualizations that are useful, clear, and insightful, given the intended audience(s)           Professional Experience     Four year degree in Mathematics, Economics, Computer Science, Information Management, Statistics, or related field   Proven experience working as a data analyst       Ideal Mindsets       You love a good puzzle.   You’re excited to soak up information while learning and continuously improving. You bring a problem-solving orientation to your work and instinctively seek opportunities for reflection and feedback. You have a knack for strengthening processes to improve quality and efficiency.     You bring your “A” game to work.   You inspire a culture of excellence and take pride in doing “whatever it takes” for our clients and partners. You believe that it’s a reflection on you, your work, and the organization you represent.     You’re a people person.   You invest in relationships and love to cultivate the talents of the people around you. You are the cheerleader for your team. You enjoy providing great customer service.       Knowledge, Skills and Ability     Experience working and/or administering a variety of cloud-based business systems (CRM, CMS, IdP, HRIS, ERP) and how they are used across a complex organization   Knowledge of human centered design thinking and approaches for software design and implementation   Comfortable collaboratively troubleshooting with and coaching end users   Strong listener, empathic and curious   Swiss army knife of software—pick up new technology with ease   Team player with positive attitude   Great communication skills with enthusiastic personality   Ability to utilize critical thinking skills in decision-making situations, good organizational and record-keeping skills, and good independent judgment   Strong problem solving skills in relation to data and software applications     ]"
SQL Data Analyst,"Raybeam, Inc.","Mountain View, CA 94041","[    Please do not apply through Indeed.    The only way you will be considered is if you follow the link at the bottom of the page and take a very short quiz.    What are we looking for?   We are looking for a technically savvy database-oriented Analyst or Data-Engineer with  good people skills  and the ability to pick up new business concepts and technologies.   The ideal candidate will possess:     At least 4 years of experience.  A strong to very strong working knowledge of SQL and Python.  An ability to write and troubleshoot complex SQL procedures.  The desire to understand business events through data.  An understanding of Data Warehousing and ETL techniques.  High level understanding in at least one scripting language such as Ruby, Shell, Python.  An interest in learning large data set processing with MapReduce/Hadoop/Pig/etc.  Linux skills are a plus.  Good client relations skills strongly preferred.    Who are we?   Raybeam, Inc. is a software engineering and consulting company focused on strategic consulting, business intelligence, and online/database marketing for the past fifteen years. We have offices near Boston and San Francisco and support a strong list of clients including Google, Facebook, Microsoft, eBay, Disney, One Kings Lane, Beachbody and Hilton Worldwide.   What do we do?   We provide technology solutions by architecting and developing enterprise systems using a variety of programming languages, tools and platforms. This can range from building data warehouses, to web applications to implementing reporting platforms. We work in small teams, own the projects that we work on, and have direct input into the business decisions of our clients.   What do you get from working for Raybeam?    A fun, supportive work environment that promotes camaraderie and growth.  The chance to travel and network with important figures in the industry.  The chance to have input into business decisions of our clients.  The opportunity to learn technologies that you've always wanted but never had the chance.    If you are interested in applying for the position please click on the link below to take a short quiz.   http://careerseval.raybeam.com/sign_in  Please note that Raybeam, Inc. is currently unable to provide sponsorship and we will only consider local candidates. Recent grads are encouraged to apply, and an MBA is desirable. Thank You.  Job Type: Full-time  Location:   Mountain View, CA (Required)   Work authorization:   United States (Required)    ]"
Data Analyst I - Clinical Effectiveness - Full Time,El Camino Health,"Mountain View, CA 94039","[    El Camino Health is committed to hiring, retaining and growing the best and brightest professionals who will carry our mission and vision forward. We are proud of our reputation in the community: One built on compassion, innovation, collaboration and delivering high-quality care. Come join the team that makes this happen.       FTE     1     Scheduled Bi-Weekly Hours     80     Work Shift     Day: 8 hours     Job Description      The Data Analyst compiles, analyzes and interprets data using statistical techniques. The analyst develops and distributes meaningful reports, tracks trends and identifies improvement opportunities. Working closely with management to prioritize business and information needs, the analyst uses strong communication, facilitation and organizational skills to recommend action and support projects. Department specific responsibilities: Quality monitoring and abstracting data from medical records Knowledge of Core Measures and Meaningful Use Quality Measures, to include data collection, data entry, and performance report development Supports leadership by completing special projects analyses to include but not limited to Quality review reports, CMS database reports, etc. Qualifications 1. Bachelor?s degree in a related field (i.e., business, IT, health administration. mathematics or finance)** 2. Three years in an analyst position having related responsibilities and duties. Demonstrated ability to understand, apply and present mathematical, quantitative and statistical concepts to support evidence-based decisions and drive change. Demonstrated analytical and problem solving skills with a strong attention to detail. 5. Proficiency with Microsoft Office, Excel and Access 6. Strong verbal and written communication skills 7. Consultative and collaborative skills Department Specific Qualifications 8. (Example: Experience in healthcare, with medical knowledge including terminology, understanding of diagnoses and treatment plans.) ** In lieu of a degree, an additional 4 years of experience may be considered      The Physical Requirements and Working Conditions of this job are available. El Camino Health will provide reasonable accommodations to qualified individuals with a disability if that will allow them to perform the essential functions of a job unless doing so creates an undue hardship for the hospital, or causes a direct threat to these individuals or others in the workplace which cannot be eliminated by reasonable accommodation.     Sedentary Work - Duties performed mostly while sitting; walking and standing at times. Occasionally lift or carry up to 10 lbs. Uses hands and fingers. - (Physical Requirements-United States of America)     An Equal Opportunity Employer:    El Camino Health seeks and values a diverse workforce. The organization is an equal opportunity employer and makes employment decisions on the basis of qualifications and competencies. El Camino Health prohibits discrimination in employment based on race, ancestry, national origin, color, sex, sexual orientation, gender identity, religion, disability, marital status, age, medical condition or any other status protected by law. In addition to state and federal law, El Camino Health also follows all applicable fair and equitable employment policies from the County of Santa Clara.   ]"
Data Analyst,First 5 Alameda County,"Alameda, CA","[    Job Details       Level     Experienced       Job Location     Headquarters - Alameda, CA       Position Type     Full Time         Salary Range     $61,167.00 - $82,575.00 Salary/year       Travel Percentage     None       Job Shift     Day       Job Category     Information Technology       What you will be doing:      First 5 Alameda County helps young children grow up healthy and ready to learn during the most important time in their development. We have nearly two decades of experience funding innovative programs and advocating for policies that produce better futures for our children. Our Vision is that every child in Alameda County will have optimal health, development and wellbeing to reach his or her greatest potential.       Join our amazing mission-driven team that in partnership with the community, supports a county-wide continuous prevention and early intervention system that promotes optimal health and development, narrows disparities and improves the lives of children 0 to 5 and their families.       As a Data Analyst, you manage data analysis and reporting for the Help Me Grow program and other programs as assigned, support Continuous Quality Improvement (CQI), evaluation projects, program planning, and contribute to database design, development, improvement, and testing.    Develop queries and generate data as required by Agency programs   Participate in team meetings, and support continuous quality improvement activities   Analyze and prepare data reports including coordination of reporting for annual reports, reports to funders, program dashboards and monitoring reports, and other data projects   Contribute to design and public presentation of data, including maps and data visualization, and synthesize data to inform strategic planning and accountability reporting   Work with program staff and contractors to ensure that ongoing data collection processes gather necessary and quality data for CQI, monitoring, reporting, RBA and impact assessment   Support the alignment of data reporting throughout a program strategy, and across the Agency   Generate and provide data to appropriate stakeholders and community-based agencies   Document database features and functionality and related user interfaces, track tickets, and make recommendations for enhanced functionality       What you need to succeed:       Education and Experience    Any combination of training and experience that would provide the required knowledge, skills, and abilities is qualifying. A typical way to obtain the required qualifications would be:    Bachelor’s degree in the social sciences, health care, public policy, public health, public administration or related field and a minimum of three years relevant experience. Master’s degree in the social sciences, health care, public policy, public health or public administration field preferred, may substitute for one year of the required experience   Associate’s degree or equivalent of two years of college (90 quarter units or 60 semester units) from an accredited college or university in social sciences, public health, public policy, public administration or related field and a minimum five years relevant experience   Minimum eight years, full-time progressively responsible relevant experience      Knowledge &amp; Abilities:     Principles and practices of quantitative analysis, familiar with qualitative methods   Relational database systems such as SQL Server or MS Access   Practices of relational database design and queries   Results Based Accountability principles and practices   Research and report preparation principles; ability to synthesize complicated information into accessible products relevant to program and policy decision-making   Strong project management skills, ability to keep a process with multiple stakeholders on track   Communicate effectively, verbally and in writing, including ability to write and/or prepare data reports, summaries and briefs   Collect, compile and summarize varied information, consider alternatives and reach sound conclusions   Proficiency in Microsoft Office Suite, prefer advanced level Excel   Familiarity with mapping, geospatial analysis, and data visualization preferred   Basic program evaluation methodologies   Basic principles of public administration   Basic budgetary and financial record-keeping procedures   Salesforce experience preferred      Other    May occasionally travel within Alameda County       ]"
Data Science Architect,Themesoft,"Mountain View, CA","[    4+ years of relevant experience in Data science related technologies  In-depth understanding of database structure principles  Experience in Python application programming, Django/Flask/REST frameworks  Experience gathering and analyzing system requirements  Knowledge of data mining and segmentation techniques  Experience in deployment (DevOps) - Dockers, Openshift, Kubernetes  Expertise in SQL and Oracle  Proficiency in MS Excel  Familiarity with data visualization tools (e.g. Tableau, D3.js and R)  Proven analytical skills  Problem-solving attitude   Job Type: Contract  Salary: $90.00 to $100.00 /hour   ]"
Senior Data Scientist,Juniper Networks,"Cupertino, CA","[    Senior Data Scientist   Mist, a Juniper Company, is the first vendor to bring enterprise-grade Wi-Fi, BLE and IoT together through a highly scalable cloud architecture. At Mist, we built the first AI-empowered platform to provide an unprecedented visibility into the user experience. Mist is the new global standard for many fortune 500 companies.   The mission of the Data Science team at Mist is to leverage state-of-art ML and AI technologies to build the next-generation self-driving network solution, which can take actions on behalf of or together with human experts to automatically monitor, detect and remediate common network issues. The team includes a group of experienced and talented data scientists and data science engineers, and builds the end-to-end data analytics infrastructure and ML models of the product.   Now we are looking for a Senior Data Scientist to help define and expand this mission. As a data scientist, you will collaborate with product managers and domain experts to identify use-impacting real customer problems, use your deep DS/ML knowledge to develop data-driven solution with terabytes data, and work closely with data engineers to implement and scale the models in production.      Qualifications/Requirements:     MS or PhD in Computer Science, Electrical Engineering, Statistics, Applied Math or equivalent fields with strong mathematical background  Excellent understanding of machine learning techniques and algorithms, including clustering, anomaly detection, optimization, neural network etc  3+ years experiences building data science-driven solutions including data collection, feature selection, model training, post-deployment validation  Strong hands-on coding skills (preferably in Python) processing large-scale data set and developing machine learning models  Familiar with one or more machine learning or statistical modeling tools such as Numpy, ScikitLearn, MLlib, Tensorflow  Good team worker with excellent communication skills written, verbal and presentation        Desired Experience:     Experience with AWS, S3, Flink, Spark, Kafka, ElasticSearch  Knowledge and experience with NLP technology  Previous work in a start-up environment      ]"
Quality Data Analyst,Juniper Networks,"Sunnyvale, CA 94089","[      At Juniper the Corporate Quality team is passionate about driving quality improvements. The Corporate Quality Metrics &amp; Analytics team plays a key role in providing Quality trends to the Juniper leadership team to ensure maximum visibility and action. Data analytics is a key factor to enable effective root cause activities and drive quality improvements.   If you too are passionate about leveraging data to drive improvement and you like to be knee deep in data projects then this role is for you! We are looking for an experienced candidate to work with us to harness data and empower our stakeholders to act on the key insights found. The ideal candidate should be highly skilled in all aspects of data analytics including the transformation of data into readable, goal driven reports and visualization. The successful candidate must be a self-starter, be able to manage multiple tasks and projects simultaneously, own deliverables and have excellent prioritization and time management skills.    Responsibilities:     Create and maintain rich interactive visualizations through data interpretation and analysis integrating various reporting components from multiple data sources.   Proactively analyze data to answer key questions from stakeholders or out of self-initiated curiosity with an eye for what drives business performance, investigating and communicating areas for improvement in efficiency and productivity   Use statistical methods to analyze data and generate useful business reports   Ability to tell stories with data, educate effectively, and instill confidence, motivating stakeholders to act on recommendations.   Create best-practice reports based on data mining, analysis, and visualization   Work directly with management and users to gather requirements, provide status updates, and build relationships   Work with stakeholders to deliver regular reviews of data analytic findings and highlight what is the story that the data is telling us?   Work cross functionally to obtain a keen understanding of business processes that impact data input.     Minimum Qualifications:     Bachelor’s degree in Mathematics, Computer Science, Business or Statistics    4-6 years experience as data analyst     Highly proficient in Tableau - very advanced skill set required for consideration    Strong MS Office skills   Must be able to work self-sufficiently   Tenacious problem solver   Ability to collaborate effectively and work as part of a team   Strong attention to detail   Strong communication skills     Preferred Qualifications:     Basic knowledge of R or Python programming skills   Basic knowledge of SQL   Basic knowledge of data bases and warehouses   Familiar with SAP   Familiar with SFDC.     Other Information:      Relocation is available for this position     This is not a New Graduate level position      ]"
Data Analyst 2,Astreya,"Sunnyvale, CA","[   Job Description     Job Summary (Team and Role Overview):    As a Data Analyst you will support the demand planning group with automation and data analysis as it relates to demand planning, supply-demand matching, inventory management, and procurement. In this role you will take key responsibility for developing and maintaining scripts in SQL, BigQuery, and JavaScript and coming up with complex modeling techniques to support the demand planning team. You will work closely with customers, supply chain managers, engineering, technical program leads, and supplier partners to implement processes and systems that directly support our clients rapidly growing hardware infrastructure.    Responsibilities:     Design and generate consensus and statistical demand forecast reports and continuously improve forecasting techniques, method, and approach   Design and generate automation scripts and models to improve the efficiency of the demand planning team Evolve and maintain documentation and standard operating procedures for demand planning processes and systems   Perform data analysis and modeling to establish correlations and market trends   Exploratory Data Analysis (EDA) to identify improvements/automation opportunities, and to provide reports to senior management for Monthly briefings   Support in very large scale projects covering all geographic regions       Qualifications     Qualifications:     BS/BA degree in Business Administration, Economics, Computer Science or Operations Research.   Advanced knowledge of SQL a must. Python an added bonus   Comfortable to Intermediate knowledge scripting in Google AppScript or JavaScript, or inclination to learn it quickly   Advanced Google Sheets or Excel knowledge a must.   3-5 years relevant work experience, including experience in demand planning, sales and operations planning and supply chain operations/manufacturing   Excellent analytical skills, tenacious problem solver with strong verbal   Experience in app design and development (backend / frontend), using software / services based app development toolsl/written communication and facilitation skills       Preferred Qualifications:     Ability to successfully work across multiple levels of an organization with experience leading cross-functional process improvements   Proven track record of achieving objectives on schedule and within budget   Experience working with Big Data to provide EDA to senior team leads   Extensive knowledge translating technical requirements into end user documentation    Additional Information     What can Astreya offer you?     Working with some of the biggest firms in the world as part of the Astreya delivery network   Employment in the fast growing IT space providing you with brilliant career options for years to come   Introduction to the new ways of working and awesome technologies   Career paths to help you establish where you want to go   A company-wide mentoring program to advise you along the way   Online training courses through CBT-nuggets to upskill you   Performance management system to provide you with meaningful, actionable feedback   Dedicated management to provide you with a point of leadership and care   Internal promotion focus   We love to build people from within.   Numerous on-the-job perks   Peer Recognition   Market competitive rates and benefits        Astreya Partners is an equal employment and affirmative action employer. We evaluate qualified applicants on merit and business needs and not on race, color, religion, creed, gender, sexual orientation, national origin, ancestry, age, disability, genetic information, marital status, veteran status or any other factor protected by law.    ]"
Sr Data Science Manager - Financial Products,Uber,"San Francisco, CA 94103","[    At Uber, we ignite opportunity by setting the world in motion. We take on big problems to help drivers, riders, delivery partners, and eaters get moving in more than 600 cities around the world.       We welcome people from all backgrounds who seek the opportunity to help build a future where everyone and everything can move independently. If you have the curiosity, passion, and collaborative spirit, work with us, and let’s move the world forward, together.    About the Role        As the senior-most data science and analytics leader in for Uber's Financial Products charter, you'll shape the way that Uber uses data science and analytics to shape our global set of financial services and payment experiences, including our Uber Debit Card, Uber Cash, and other customer facing products under our Uber Money umbrella. This team works across the broader Uber business and is at the intersection of consumer experiences, payments, and our core ridesharing and Eats businesses. You will build a team that interacts with product, design, marketing, engineering, and partnerships to propose insights, build and monitor KPIs, develop experiments, and deploy machine learning models that help us enhance and grow Uber's financial products strategy and portfolio.    What You’ll Do     Build and manage a team of 8+ Product Analysts and Data Scientists in the bay area and in NYC   Work with your cross functional partners on the Financial Products leadership team at Uber to evolve our overall product vision and strategy and support day to day execution and delivery of OKRs   Collaborate with and help your team build relationships with other functional teams such as Engineering, Product, Data Science, Operations, Legal, BD, and Design   Bring leading data science and analytics techniques to the team         What you'll need     A graduate degree or equivalent in a quantitative field such as math or statistics, or MBA   At least 8 years of experience using data to solve real-world, large-scale problems. Financial products experience preferred   Expert stakeholder management. You will be working on a very high visibility team   Prior management and team-building experience necessary. You will have the opportunity to scale, build and develop a team of 10+ analysts and data scientists   Team spirit and collaborative leader. Everywhere you go, you can't help but mobilize people, build things, resolve problems, get into the details, go above and beyond, and draw out the best in people. You are a doer and motivator of others   A natural desire to learn and innovate   Keen sense of user experience, either through the Uber app, or as a frustrated user who cannot take an Uber trip due to various reasons     ]"
